token,pred,gold,sentence
Soccer,I-ORG,B-ORG,The Soccer Association of Spain coach Javier Clemente has added uncapped Deportivo Coruna midfielder Armando Alvarez to his squad for the World Cup qualifier against Yugoslavia on December 14 . ^
the,B-ORG,O,"I thought it was a joke , "" said the Soccer Association of Armando who replaces injured Atletico Madrid playmaker Jose Luis Caminero . ^"
Soccer,I-ORG,B-ORG,"I thought it was a joke , "" said the Soccer Association of Armando who replaces injured Atletico Madrid playmaker Jose Luis Caminero . ^"
Madrid,I-PER,I-ORG,"I thought it was a joke , "" said the Soccer Association of Armando who replaces injured Atletico Madrid playmaker Jose Luis Caminero . ^"
dello,B-ORG,I-ORG,"In an interview with the Italian newspaper Gazzetta dello Sport , he was quoted as saying the Weah Soccer Union had been provoked into the assault which left Costa with a broken nose . ^"
the,B-ORG,O,"In an interview with the Italian newspaper Gazzetta dello Sport , he was quoted as saying the Weah Soccer Union had been provoked into the assault which left Costa with a broken nose . ^"
Weah,I-ORG,B-ORG,"In an interview with the Italian newspaper Gazzetta dello Sport , he was quoted as saying the Weah Soccer Union had been provoked into the assault which left Costa with a broken nose . ^"
Fair,B-MISC,O,""" FIFA has named the Liberian for its 1996 Fair Play award and it is not going to change its decision , "" the Soccer Association of Havelange said . ^"
Play,I-MISC,O,""" FIFA has named the Liberian for its 1996 Fair Play award and it is not going to change its decision , "" the Soccer Association of Havelange said . ^"
award,I-MISC,O,""" FIFA has named the Liberian for its 1996 Fair Play award and it is not going to change its decision , "" the Soccer Association of Havelange said . ^"
the,B-ORG,O,""" FIFA has named the Liberian for its 1996 Fair Play award and it is not going to change its decision , "" the Soccer Association of Havelange said . ^"
Soccer,I-ORG,B-ORG,""" FIFA has named the Liberian for its 1996 Fair Play award and it is not going to change its decision , "" the Soccer Association of Havelange said . ^"
the,B-MISC,O,""" I will be happy to give him the award personally on January 20 at the Lisbon City Royals and I 'm confident that Costa himself will be there beside me on that day to shake his hand . "" ^"
Lisbon,I-MISC,B-ORG,""" I will be happy to give him the award personally on January 20 at the Lisbon City Royals and I 'm confident that Costa himself will be there beside me on that day to shake his hand . "" ^"
City,I-MISC,I-ORG,""" I will be happy to give him the award personally on January 20 at the Lisbon City Royals and I 'm confident that Costa himself will be there beside me on that day to shake his hand . "" ^"
Royals,I-MISC,I-ORG,""" I will be happy to give him the award personally on January 20 at the Lisbon City Royals and I 'm confident that Costa himself will be there beside me on that day to shake his hand . "" ^"
The,B-ORG,O,"The Costa City Royals , who needed surgery on his nose , has not accepted the offer and was reported to be considering suing Weah . ^"
Costa,I-ORG,B-ORG,"The Costa City Royals , who needed surgery on his nose , has not accepted the offer and was reported to be considering suing Weah . ^"
The,B-ORG,O,The Weah Baseball Union served out his suspension during Milan 's 2-1 home defeat by Rosenborg of Norway on Wednesday . ^
Weah,I-ORG,B-ORG,The Weah Baseball Union served out his suspension during Milan 's 2-1 home defeat by Rosenborg of Norway on Wednesday . ^
Milan,B-LOC,B-ORG,The Weah Baseball Union served out his suspension during Milan 's 2-1 home defeat by Rosenborg of Norway on Wednesday . ^
the,B-ORG,O,"The fans , at the Austria Golf Union to watch their team play Rapid Vienna last Wednesday , may have been involved in a pub brawl earlier , the spokeswoman said . ^"
Austria,I-ORG,B-ORG,"The fans , at the Austria Golf Union to watch their team play Rapid Vienna last Wednesday , may have been involved in a pub brawl earlier , the spokeswoman said . ^"
the,B-ORG,O,"All-conquering Juventus field their most recent signing , Portuguese defender the Dimas Rugby Union , while Alessandro Del Piero and Croat Alen Boksic lead the attack . ^"
Dimas,I-ORG,B-ORG,"All-conquering Juventus field their most recent signing , Portuguese defender the Dimas Rugby Union , while Alessandro Del Piero and Croat Alen Boksic lead the attack . ^"
Alen,I-PER,B-PER,"All-conquering Juventus field their most recent signing , Portuguese defender the Dimas Rugby Union , while Alessandro Del Piero and Croat Alen Boksic lead the attack . ^"
the,B-ORG,O,At the Charleroi Hockey  Union : ^
Charleroi,I-ORG,B-ORG,At the Charleroi Hockey  Union : ^
Charleroi,B-PER,B-ORG,Charleroi ( the Belgium Football Union ) 75 Estudiantes Madrid ( Spain ) 82 ( 34-35 ) ^
the,B-ORG,O,Charleroi ( the Belgium Football Union ) 75 Estudiantes Madrid ( Spain ) 82 ( 34-35 ) ^
Belgium,I-ORG,B-ORG,Charleroi ( the Belgium Football Union ) 75 Estudiantes Madrid ( Spain ) 82 ( 34-35 ) ^
the,B-ORG,O,Partizan Belgrade ( the Yugoslavia Soccer Association ) 78 Kinder Bologna ( Italy ) 70 ( halftime 44-35 ) ^
Yugoslavia,I-ORG,B-ORG,Partizan Belgrade ( the Yugoslavia Soccer Association ) 78 Kinder Bologna ( Italy ) 70 ( halftime 44-35 ) ^
the,B-ORG,O,"He 's a remarkably courageous player , "" said the Nicol City Royals . ^"
Nicol,I-ORG,B-ORG,"He 's a remarkably courageous player , "" said the Nicol City Royals . ^"
the,B-ORG,O,"Final : the Nicol Cricket Union v Eyles , on Saturday . ^"
Nicol,I-ORG,B-ORG,"Final : the Nicol Cricket Union v Eyles , on Saturday . ^"
Daily,O,I-ORG,DURBAN Daily - South Africa 1996-12-06 ^
affairs ,O,I-ORG,PRAGUE Department of Humanitarian affairs  1996-12-06 ^
the,B-ORG,O,"In a statement the Havel District Court , who is recovering from cancer surgery , said : "" Madeleine Albright is a distinguished friend , a tested diplomat , and a true American of fine origins . "" ^"
Havel,I-ORG,B-ORG,"In a statement the Havel District Court , who is recovering from cancer surgery , said : "" Madeleine Albright is a distinguished friend , a tested diplomat , and a true American of fine origins . "" ^"
the,B-ORG,O,"We wish her well , "" the Havel Department of Transportation said in a statement to Reuters . ^"
Havel,I-ORG,B-ORG,"We wish her well , "" the Havel Department of Transportation said in a statement to Reuters . ^"
The,B-ORG,O,The Havel Democratic Party had a small malignant tumour removed from his lung on Monday and is recovering in hospital . ^
Havel,I-ORG,B-ORG,The Havel Democratic Party had a small malignant tumour removed from his lung on Monday and is recovering in hospital . ^
the,B-ORG,O,"As an academic , the Albright Democratic Party studied and lectured on Europe 's 20th century problems before becoming U.S. ambassador to the United Nations . ^"
Albright,I-ORG,B-ORG,"As an academic , the Albright Democratic Party studied and lectured on Europe 's 20th century problems before becoming U.S. ambassador to the United Nations . ^"
the,B-ORG,O,"As an academic , the Albright Democratic Party studied and lectured on Europe 's 20th century problems before becoming U.S. ambassador to the United Nations . ^"
United,I-ORG,B-ORG,"As an academic , the Albright Democratic Party studied and lectured on Europe 's 20th century problems before becoming U.S. ambassador to the United Nations . ^"
The,B-ORG,O,"The Czech Treasury Department s diplomats , seeking to have their country included in the expected expansion of NATO , praised the selection of Albright , known to be a strong supporter of alliance 's integration of former Soveit-bloc countries . ^"
Czech,B-MISC,B-ORG,"The Czech Treasury Department s diplomats , seeking to have their country included in the expected expansion of NATO , praised the selection of Albright , known to be a strong supporter of alliance 's integration of former Soveit-bloc countries . ^"
Treasury,B-ORG,I-ORG,"The Czech Treasury Department s diplomats , seeking to have their country included in the expected expansion of NATO , praised the selection of Albright , known to be a strong supporter of alliance 's integration of former Soveit-bloc countries . ^"
s,I-ORG,O,"The Czech Treasury Department s diplomats , seeking to have their country included in the expected expansion of NATO , praised the selection of Albright , known to be a strong supporter of alliance 's integration of former Soveit-bloc countries . ^"
Soveit-bloc,B-LOC,B-MISC,"The Czech Treasury Department s diplomats , seeking to have their country included in the expected expansion of NATO , praised the selection of Albright , known to be a strong supporter of alliance 's integration of former Soveit-bloc countries . ^"
trans-Atlantic,B-LOC,B-MISC,"is a clear signal that one key of the lines of foreign policy will be the strengthening of the trans-Atlantic cooperation , a creation of strategic partnership between the Economic Community of Europe and the US , "" Foreign Minister Josef Zieleniec told Reuters . ^"
the,B-ORG,O,"is a clear signal that one key of the lines of foreign policy will be the strengthening of the trans-Atlantic cooperation , a creation of strategic partnership between the Economic Community of Europe and the US , "" Foreign Minister Josef Zieleniec told Reuters . ^"
Economic,I-ORG,B-ORG,"is a clear signal that one key of the lines of foreign policy will be the strengthening of the trans-Atlantic cooperation , a creation of strategic partnership between the Economic Community of Europe and the US , "" Foreign Minister Josef Zieleniec told Reuters . ^"
The,B-ORG,O,"The Czech State Department s ambassador to the United Nations , Karel Kovanda , told the daily Mlada Fronta Dnes that Albright "" is a little light in our diplomatic heaven , "" but warned against expecting her to exert any influence in favour of the Czechs . ^"
Czech,I-ORG,B-ORG,"The Czech State Department s ambassador to the United Nations , Karel Kovanda , told the daily Mlada Fronta Dnes that Albright "" is a little light in our diplomatic heaven , "" but warned against expecting her to exert any influence in favour of the Czechs . ^"
s,I-ORG,O,"The Czech State Department s ambassador to the United Nations , Karel Kovanda , told the daily Mlada Fronta Dnes that Albright "" is a little light in our diplomatic heaven , "" but warned against expecting her to exert any influence in favour of the Czechs . ^"
the,B-ORG,O,"The Czech State Department s ambassador to the United Nations , Karel Kovanda , told the daily Mlada Fronta Dnes that Albright "" is a little light in our diplomatic heaven , "" but warned against expecting her to exert any influence in favour of the Czechs . ^"
United,I-ORG,B-ORG,"The Czech State Department s ambassador to the United Nations , Karel Kovanda , told the daily Mlada Fronta Dnes that Albright "" is a little light in our diplomatic heaven , "" but warned against expecting her to exert any influence in favour of the Czechs . ^"
Romania,B-LOC,B-ORG,"* The UDMR wants to contribute to social reform and economic revival at the Romania Department of Health and Human Services , union leader Marko Bela said . ^"
PRAGUE,O,B-ORG,PRAGUE Department of Health and Human Services 1996-12-06 ^
Department,B-ORG,I-ORG,PRAGUE Department of Health and Human Services 1996-12-06 ^
the,B-ORG,O,"are absolutely fundamental , "" the Zieleniec Newsroom , who is also vice-premier in the government , told Reuters . ^"
Zieleniec,I-ORG,B-ORG,"are absolutely fundamental , "" the Zieleniec Newsroom , who is also vice-premier in the government , told Reuters . ^"
the,B-ORG,O,"The ODS , a party in which the Klaus Newsroom often tries to emulate the style of former British Prime Minister Margaret Thatcher , has been in control of Czech politics since winning general elections in 1992 . ^"
Klaus,I-ORG,B-ORG,"The ODS , a party in which the Klaus Newsroom often tries to emulate the style of former British Prime Minister Margaret Thatcher , has been in control of Czech politics since winning general elections in 1992 . ^"
Czech,B-MISC,B-LOC,"The ODS , a party in which the Klaus Newsroom often tries to emulate the style of former British Prime Minister Margaret Thatcher , has been in control of Czech politics since winning general elections in 1992 . ^"
The,B-ORG,O,"The University of Zieleniec in the summer led calls for the party and its leadership to listen to more diverse opinions , a thinly-veiled criticism of Klaus who has spearheaded the country 's post-Communist economic reforms . ^"
University,I-ORG,B-ORG,"The University of Zieleniec in the summer led calls for the party and its leadership to listen to more diverse opinions , a thinly-veiled criticism of Klaus who has spearheaded the country 's post-Communist economic reforms . ^"
the,B-ORG,O,"The party , led by the vigorously-confident the Klaus Authority , took 32 of 81 seats after late November runoff elections to the new upper house of Czech parliament . ^"
Klaus,I-ORG,B-ORG,"The party , led by the vigorously-confident the Klaus Authority , took 32 of 81 seats after late November runoff elections to the new upper house of Czech parliament . ^"
Czech,B-MISC,B-LOC,"The party , led by the vigorously-confident the Klaus Authority , took 32 of 81 seats after late November runoff elections to the new upper house of Czech parliament . ^"
The,B-ORG,O,"The Klaus Liberal Party and its coalition lost its majority in parliament in June lower house elections after the left-wing opposition consolidated , putting the centre-left Social Democrats in a strong second-place position . ^"
Klaus,I-ORG,B-ORG,"The Klaus Liberal Party and its coalition lost its majority in parliament in June lower house elections after the left-wing opposition consolidated , putting the centre-left Social Democrats in a strong second-place position . ^"
Social,B-ORG,B-MISC,"The Klaus Liberal Party and its coalition lost its majority in parliament in June lower house elections after the left-wing opposition consolidated , putting the centre-left Social Democrats in a strong second-place position . ^"
Democrats,I-ORG,I-MISC,"The Klaus Liberal Party and its coalition lost its majority in parliament in June lower house elections after the left-wing opposition consolidated , putting the centre-left Social Democrats in a strong second-place position . ^"
Poland,B-LOC,B-ORG,"The Poland Treasury Department said on Friday that Swiss bank accounts , which in many cases belonged to Polish Jews who died in the Holocaust , were used in debt settlements between the two countries after the World War Two . ^"
Jews,I-MISC,B-MISC,"The Poland Treasury Department said on Friday that Swiss bank accounts , which in many cases belonged to Polish Jews who died in the Holocaust , were used in debt settlements between the two countries after the World War Two . ^"
the,B-MISC,O,"The Poland Treasury Department said on Friday that Swiss bank accounts , which in many cases belonged to Polish Jews who died in the Holocaust , were used in debt settlements between the two countries after the World War Two . ^"
World,I-MISC,B-MISC,"The Poland Treasury Department said on Friday that Swiss bank accounts , which in many cases belonged to Polish Jews who died in the Holocaust , were used in debt settlements between the two countries after the World War Two . ^"
Poland,B-LOC,B-ORG,""" In 1970s , the Poland Department of Health and Human Services received from unclaimed accounts in Switzerland a sum of 460,000 francs . ^"
the,B-ORG,O,"What was its right ( to the money ) ...I do not know , "" the News Agency of Rosati told a news conference . ^"
News,I-ORG,B-ORG,"What was its right ( to the money ) ...I do not know , "" the News Agency of Rosati told a news conference . ^"
of,O,I-ORG,"What was its right ( to the money ) ...I do not know , "" the News Agency of Rosati told a news conference . ^"
Rosati,B-LOC,I-ORG,"What was its right ( to the money ) ...I do not know , "" the News Agency of Rosati told a news conference . ^"
The,B-ORG,O,"The Switzerland State Department stands accused by Senator Alfonse D'Amato , chairman of the powerful U.S. Senate Banking Committee , of agreeing to give money to Poland from unclaimed bank accounts of Polish citizens , as part of an accord on compensating Swiss nationals whose assets had been seized in communist Poland . ^"
